id	disposition	rules	comparison	observation	lesson	verification_prompt
A	shell candidate	F01,F04,F09	I	A stable sidebar and aligned review rows sit below one reserve readout.	Keep predictable navigation; reduce the oversized introduction when the candidate list grows.	Can a returning user reach one cache path without rereading the overview?
B	shell candidate	F02,F04,F09	G01	A floating horizontal navigation bar sits above a largely opaque content slab.	Material can distinguish navigation from evidence; this is a more structural glass treatment than a tinted sidebar.	Does navigation remain legible over a busy desktop with reduced transparency enabled?
C	shell candidate	F03,F09,F11	A	Three metrics share a row and the review queue includes an explicit unselected document state.	Density can expose more evidence simultaneously; dark color itself contributes no scanning intelligence.	Can long paths and an unknown ownership state fit at enlarged text size?
D	module	F04,F08,F11	P13	A narrative report and a separate target column describe why categories deserve review.	Use this for explanation or a periodic report; prose is inefficient for comparing many individual files.	Can the reader identify both recreation cost and the next file-level action?
E	accent	F05,F07,F09	T05	An original friendly disk character accompanies three explicit review steps.	A companion can introduce the task; a calm face must never imply the selected files are safe.	Does the same tone still communicate a failed or irreversible action plainly?
F	accent	F05,F07,F10	N	A yellow poster fills the left half while a plain bordered review panel holds the action.	Strong identity works when the decision area has a separate rhythm; the slogan consumes substantial working space.	Can a genuine warning stand out against the already emphatic introduction?
G	module	F03,F05,F09	E07	A large digital readout and labeled reserve setting resemble an instrument panel.	Borrow explicit units and set-point labeling; a physical-looking setting needs real accessible adjustment semantics.	Can the target be changed by keyboard and distinguished from measured free space?
H	shell candidate	F01,F05,F09	E16	Unequal summary cards emphasize free space and deficit above equal category tiles.	Asymmetry can establish priority while equal tiles remain categorical rather than proportional.	Will users mistake equal category tiles for equal storage consumption?
I	shell candidate	F03,F06,F09	P01	A typographic index aligns current, target and deficit on one baseline.	Compare related metrics using common alignment; retain enough room for reasons below the dramatic headline.	Can users identify the units and meaning of all three numbers without relying on position?
J	shell candidate	F04,F08,F09	X28	A plain task heading and three-step explanation lead into review.	Explicit action language is portable across styles; a mandatory wizard may burden repeat users.	Can novices explain what Continue does and experts return directly to an unresolved item?
K	module	F03,F06,F10	X17	A 34.6 GB candidate treemap sits beside an exact-value inspector.	Use area for composition, then rows for judgment; candidate area is neither disk capacity nor deletion permission.	Can users state the denominator and identify the smaller category exactly?
L	module	F04,F05,F11	X28	A menu-bar status proposal opens a compact reserve panel and describes notification policy.	Peripheral monitoring should surface meaningful changes and blockers; quiet appearance is not a running monitor.	Does a newly blocked scan become noticeable without repeated unchanged alerts?
M	accent	F07,F09,F10	R01	A pixel disk glyph and rectangular desktop chrome surround modern review rows.	Historical economy of symbols can supply character without inheriting historical target sizes.	Can every decorative menu be distinguished from a functioning command?
N	accent	F05,F07,F10	P07	A yellow-purple identity panel uses repeated geometric marks beside a steady list.	Expressiveness is strongest when confined to a recognizable region; marks carry no byte meaning.	Can participants tell decoration from progress when the palette is removed?
O	accent	F05,F07,F10	T13	A leaf-like solid and rounded vertical panel accompany an ordinary evidence list.	Organic silhouettes can soften a brand; they establish neither ecological savings nor safer cleanup.	Can the plant motif be removed without changing any storage interpretation?
P	module	F04,F08,F09	R12	A command field and matching action preview explain that execution opens review.	Speed should shorten navigation while preserving consequence visibility; fuzzy matching cannot authorize removal.	Does Enter on a partial command open the stated review without deleting anything?
